,,,,,Rate,3,4.4,,,,,,
Myanmar,,,Yangon,NSO,Count,,114,,,,,,
,,,,,Rate,,2.9,,,,,,
Philippines,,,Quezon City,CTS,Count,239,188,151,119,123,,,
,,,,,Rate,10.3,8.1,6.5,5.1,5.3,,,
Singapore,,,Singapore,CTS,Count,21,17,18,27,20,19,16,11
,,,,,Rate,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2
Thailand,,,Bangkok,CTS,Count,311,327,283,252,225,219,,
,,,,,Rate,4.3,4.4,3.7,3.2,2.8,2.7,,
Timor-Leste,,,Dili,UN-PKO,Count,,,,,,17,,
,,,,,Rate,,,,,,11.3,,
Bangladesh,,Southern Asia,Dhaka,CTS,Count,231,344,,,,,,
,,,,,Rate,3.6,5.3,,,,,,
India,,,Mumbai,CTS,Count,212,239,230,210,217,228,,
,,,,,Rate,1.2,1.3,1.2,1.1,1.1,1.2,,
Maldives,,,Male,CTS,Count,,,8,6,,,,
,,,,,Rate,,,6.7,5,,,,
Nepal,,,Kathmandu,CTS,Count,172,166,,,,,,
,,,,,Rate,19.2,18.5,,,,,,
Sri Lanka,,,Colombo,National police,Count,,66,55,55,31,,,
,,,,,Rate,,2.6,2.2,2.2,1.2,,,
Armenia,,Western Asia,Yerevan,CTS,Count,,,,,,17,20,19
,,,,,Rate,,,,,,1.5,1.8,1.7
Azerbaijan,,,Baku,CTS,Count,70,70,67,67,,70,,
,,,,,Rate,3.7,3.6,3.3,3.3,,3.3,,
Cyprus,,,Nicosia,CTS,Count,3,8,3,3,3,4,2,5
,,,,,Rate,1,2.6,1,1,1,1.3,0.6,2
Georgia,,,Tbilisi,CTS,Count,141,86,90,56,57,39,,
,,,,,Rate,13.1,7.8,8.2,4.9,5,3.4,,
Israel,,,Tel Aviv,CTS,Count,24,15,17,18,,,,
,,,,,Rate,6.1,3.8,4.3,4.6,,,,
Jordan,,,Amman,CTS,Count,23,40,,,,,,
,,,,,Rate,1.5,1.8,,,,,,
Kuwait,,,Kuwait City,CTS,Count,8,9,12,11,11,,,
,,,,,Rate,1,1.1,1.3,1.2,1.2,,,
Oman,,,Muscat,CTS,Count,,,4,4,,,,
,,,,,Rate,,,0.6,0.6,,,,
Qatar,,,Doha,CTS,Count,,,5,4,,,,
,,,,,Rate,,,1.3,1.1,,,,
State of Palestine,,,Hebron,CTS,Count,17,,,,,,,
,,,,,Rate,3.2,,,,,,,
Syrian Arab Republic,,,Aleppo,CTS,Count,,,155,131,,,,
,,,,,Rate,,,2.9,2.5,,,,
Turkey,,,Istanbul,CTS,Count,923,842,656,596,,,,
,,,,,Rate,7.3,6.7,5.2,4.7,,,,
United Arab Emirates,,,Dubai,CTS,Count,25,20,,,,,,
,,,,,Rate,1.9,1.5,,,,,,
Yemen,,,Sanaa,CTS,Count,96,102,93,81,83,,,
,,,,,Rate,5.5,5.5,4.7,3.9,3.8,,,
Belarus,Europe,Eastern Europe,Minsk,CTS,Count,85,87,49,56,48,,,
,,,,,Rate,4.8,4.9,2.7,3.1,2.6,,,
Bulgaria,,,Sofia,CTS,Count,38,27,24,27,26,20,20,24
,,,,,Rate,3.1,2.2,1.9,2.2,2.1,1.6,1.5,1.8
Czech Republic,,,Prague,CTS,Count,15,21,21,15,18,16,10,18
,,,,,Rate,1.2,1.7,1.7,1.2,1.5,1.3,0.8,1.4
Hungary,,,Budapest,CTS,Count,31,30,17,26,36,32,32,28
,,,,,Rate,1.8,1.8,1,1.5,2.1,1.9,1.8,1.6
Poland,,,Warsaw,CTS,Count,37,36,37,25,35,27,36,
,,,,,Rate,2.2,2.1,2.2,1.5,2,1.6,2.1,
Republic of Moldova,,,Chishinau,CTS,Count,57,56,51,36,43,42,35,41
,,,,,Rate,7.3,7.2,6.5,4.6,5.5,5.3,4.4,5.2
Romania,,,Bucharest,CTS,Count,27,25,22,17,20,22,17,21
,,,,,Rate,1.4,1.3,1.1,0.9,1,1.1,0.9,1.1
Russian Federation,,,Moscow,CTS,Count,766,767,629,626,481,483,439,
,,,,,Rate,7.1,7,5.7,5.6,4.2,4.2,3.8,
Slovakia,,,Bratislava,CTS,Count,11,15,16,10,9,8,14,12
,,,,,Rate,2.6,3.5,3.8,2.3,2.1,1.9,3.2,2.9
Ukraine,,,Kiev,CTS,Count,129,129,99,102,118,91,,
,,,,,Rate,4.8,4.8,3.6,3.7,4.2,3.2,,
Denmark,,Northern Europe,Copenhagen,CTS/Eurostat,Count,13,9,7,8,13,4,16,14
,,,,,Rate,1.2,0.8,0.6,0.7,1.1,0.3,1.3,1.1
Estonia,,,Tallinn,CTS/Eurostat,Count,40,21,35,,29,22,,
,,,,,Rate,10.1,5.3,8.8,,7.3,5.5,,
Finland,,,Helsinki,CTS,Count,13,14,10,16,7,12,14,12
,,,,,Rate,2.3,2.5,1.8,2.8,1.2,2,2.4,2
Iceland,,,Reykjavik,CTS,Count,2,0,2,0,1,1,3,1
,,,,,Rate,1,0,1,0,0.5,0.5,1.5,0.5
Ireland,,,Dublin,Eurostat,Count,29,33,31,26,29,30,,
,,,,,Rate,2.6,2.7,2.5,2,2.1,2,,
Latvia,,,Riga,CTS,Count,35,46,29,30,37,23,18,26
,,,,,Rate,4.8,6.3,4,4.2,5.2,3.3,2.7,4
Lithuania,,,Vilnius,CTS,Count,43,32,41,58,30,26,22,19
,,,,,Rate,7.8,5.8,7.4,10.4,5.4,4.7,4.1,3.5
Norway,,,Oslo,CTS,Count,9,9,8,12,7,5,19,
,,,,,Rate,1.6,1.6,1.4,2.1,1.2,0.9,3.2,
United Kingdom (England and Wales),,,London,CTS,Count,177,160,161,155,118,133,100,
,,,,,Rate,2.4,2.1,2.1,2.1,1.6,1.8,1.3,
United Kingdom (Northern Ireland),,,Belfast,CTS,Count,13,11,6,4,7,9,3,
,,,,,Rate,4.9,4.1,2.2,1.5,2.6,3.3,1.1,
United Kingdom (Scotland),,,Glasgow,CTS,Count,31,32,31,23,20,30,12,
,,,,,Rate,5.4,5.5,5.3,3.9,3.4,5.1,2,
Albania,,Southern Europe,Tirana,CTS,Count,24,19,21,18,25,33,28,
,,,,,Rate,5.7,4.5,5,4.3,6,7.9,6.7,
Andorra,,,Andorra la Vella,CTS,Count,,,0,0,1,1,1,
,,,,,Rate,,,0,0,2.7,2.5,2.7,
Bosnia and Herzegovina,,,Sarajevo,CTS,Count,9,10,10,10,,,,
,,,,,Rate,1.8,2,2,2,,,,
Croatia,,,Zagreb,CTS,Count,16,11,6,15,5,10,11,10
,,,,,Rate,2.1,1.4,0.8,1.9,0.6,1.3,1.4,1.3
Greece,,,Athens,CTS,Count,49,43,68,69,70,82,86,
,,,,,Rate,1.4,1.3,2,2,2,2.3,2.4,
Italy,,,Rome,CTS,Count,34,26,29,28,29,9,27,24
,,,,,Rate,1.3,1,1.1,1.1,1.1,0.3,1,0.9
Malta,,,Valletta,CTS,Count,0,0,0,0,0,1,0,0
,,,,,Rate,0,0,0,0,0,15.9,0,0
Montenegro,,,Podgorica,CTS,Count,12,11,7,7,8,7,7,7
,,,,,Rate,6.5,5.9,3.7,3.6,4.1,3.5,3.5,3.5
Portugal,,,Lisbon,CTS,Count,15,17,12,9,4,6,5,13
,,,,,Rate,0.7,0.8,0.6,0.4,0.2,0.3,0.2,0.6
Serbia,,,Belgrade,CTS,Count,48,50,50,40,24,23,37,22
,,,,,Rate,3,3.1,3.1,2.5,1.5,1.4,2.2,1.3
Slovenia,,,Ljubljana,CTS,Count,4,1,3,0,1,3,4,2
,,,,,Rate,1.5,0.4,1.1,0,0.4,1.1,1.4,0.7
Spain,,,Madrid,CTS,Count,36,37,34,39,32,28,21,28
,,,,,Rate,1.1,1.2,1.1,1.2,1,0.9,0.6,0.9
The former Yugoslav Republic of Macedonia,,,Skopje,CTS,Count,15,19,21,13,12,14,11,
,,,,,Rate,2.9,3.6,4,2.5,2.3,2.6,2.1,
Austria,,Western Europe,Vienna,CTS,Count,22,18,20,15,19,17,25,24
,,,,,Rate,1.3,1.1,1.2,0.9,1.1,1,1.5,1.4
Belgium,,,Brussels,CTS,Count,32,37,20,44,33,31,24,30
,,,,,Rate,3.1,3.6,1.9,4.1,3,2.8,2.1,2.6
France,,,Paris,CTS,Count,34,29,33,35,25,41,40,41
,,,,,Rate,1.6,1.3,1.5,1.6,1.1,1.8,1.8,1.8
Germany,,,Berlin,CTS,Count,60,50,42,42,61,37,35,
,,,,,Rate,1.8,1.5,1.2,1.2,1.8,1.1,1,
Liechtenstein,,,Vaduz,CTS,Count,0,0,0,0,0,0,0,
,,,,,Rate,0,0,0,0,0,0,0,
Luxembourg,,,Luxembourg,Eurostat/CTS,Count,1,4,3,3,5,0,3,
,,,,,Rate,1.1,4.2,3.2,3.2,5.3,0,3.2,
Monaco,,,Monte Carlo,CTS,Count,1,1,0,0,,,,
,,,,,Rate,2.8,2.8,0,0,,,,
Netherlands,,,Amsterdam,Eurostat,Count,24,17,27,11,24,10,12,
,,,,,Rate,3.2,2.3,3.6,1.5,3.2,1.3,1.5,
Switzerland,,,Zurich,CTS,Count,,,,,4,11,1,
,,,,,Rate,,,,,1.1,3,0.3,
Australia,Ocenaia,Australia and New Zealand,Sydney,NSO,Count,51,62,49,,,,,
,,,,,Rate,1.2,1.4,1.1,,,,,
New Zealand,,,Auckland,CTS,Count,19,23,11,20,15,17,14,10
,,,,,Rate,1.4,1.7,0.8,1.4,1,1.1,0.9,0.7
Solomon Islands,,Melanesia,Honiara City,CTS,Count,3,12,19,11,,,,
,,,,,Rate,5.2,20.8,33,19.1,,,,
Tonga,,Polynesia,Nuku'alofa,National police,Count,4,8,1,3,4,1,2,1
,,,,,Rate,17,33.8,4.2,12.5,16.5,4.1,8.1,4
